"","Area","Region","YearPeriod","AVG_PercentFemale","AVG_PercentMale"
"93","Austria","Europe","Y20082010","",""
"94","Austria","Europe","Y20092011","",""
"95","Austria","Europe","Y20102012","",""
"96","Austria","Europe","Y20112013","",""
"97","Austria","Europe","Y20122014","",""
"98","Austria","Europe","Y20132015","",""
"99","Austria","Europe","Y20142016","1.4","1.4"
"100","Austria","Europe","Y20152017","1.3","1.3"
"101","Austria","Europe","Y20162018","1.2","1.2"
"102","Austria","Europe","Y20172019","1.1","1.1"
"103","Austria","Europe","Y20182020","0.9","0.9"
"104","Austria","Europe","Y20192021","1.2","1.2"
"105","Austria","Europe","Y20202022","1.4","1.4"
"106","Belarus","Europe","Y20002002","",""
"107","Belarus","Europe","Y20012003","",""
"108","Belarus","Europe","Y20022004","",""
"109","Belarus","Europe","Y20032005","",""
"110","Belarus","Europe","Y20042006","",""
"111","Belarus","Europe","Y20052007","",""
"112","Belarus","Europe","Y20062008","",""
"113","Belarus","Europe","Y20072009","",""
"114","Belarus","Europe","Y20082010","",""
"115","Belarus","Europe","Y20092011","",""
"116","Belarus","Europe","Y20102012","",""
"117","Belarus","Europe","Y20112013","",""
"118","Belarus","Europe","Y20122014","",""
"119","Belarus","Europe","Y20132015","",""
"120","Belarus","Europe","Y20142016","",""
"121","Belarus","Europe","Y20152017","",""
"122","Belarus","Europe","Y20162018","",""
"123","Belarus","Europe","Y20172019","",""
"124","Belarus","Europe","Y20182020","",""
"125","Belarus","Europe","Y20192021","",""
"126","Belarus","Europe","Y20202022","",""
"127","Belgium","Europe","Y20002002","",""
"128","Belgium","Europe","Y20012003","",""
"129","Belgium","Europe","Y20022004","",""
"130","Belgium","Europe","Y20032005","",""
"131","Belgium","Europe","Y20042006","",""
"132","Belgium","Europe","Y20052007","",""
"133","Belgium","Europe","Y20062008","",""
"134","Belgium","Europe","Y20072009","",""
"135","Belgium","Europe","Y20082010","",""
"136","Belgium","Europe","Y20092011","",""
"137","Belgium","Europe","Y20102012","",""
"138","Belgium","Europe","Y20112013","",""
"139","Belgium","Europe","Y20122014","",""
"140","Belgium","Europe","Y20132015","",""
"141","Belgium","Europe","Y20142016","",""
"142","Belgium","Europe","Y20152017","",""
"143","Belgium","Europe","Y20162018","",""
"144","Belgium","Europe","Y20172019","",""
"145","Belgium","Europe","Y20182020","1.1","1.1"
"146","Belgium","Europe","Y20192021","1.2","1.2"
"147","Belgium","Europe","Y20202022","1.5","1.5"
"148","Benin","Africa","Y20002002","",""
"149","Benin","Africa","Y20012003","",""
"150","Benin","Africa","Y20022004","",""
"151","Benin","Africa","Y20032005","",""
"152","Benin","Africa","Y20042006","",""
"153","Benin","Africa","Y20052007","",""
"154","Benin","Africa","Y20062008","",""
"155","Benin","Africa","Y20072009","",""
"156","Benin","Africa","Y20082010","",""
"157","Benin","Africa","Y20092011","",""
"158","Benin","Africa","Y20102012","",""
"159","Benin","Africa","Y20112013","",""
"160","Benin","Africa","Y20122014","",""
"161","Benin","Africa","Y20132015","",""
"162","Benin","Africa","Y20142016","10.7","10.7"
"163","Benin","Africa","Y20152017","13.4","13.4"
"164","Benin","Africa","Y20162018","14.7","14.7"
"165","Benin","Africa","Y20172019","14.6","14.6"
"166","Benin","Africa","Y20182020","14.2","14.2"
"167","Benin","Africa","Y20192021","14.1","14.1"
"168","Benin","Africa","Y20202022","15.7","15.7"
"169","Bosnia and Herzegovina","Europe","Y20002002","",""
"170","Bosnia and Herzegovina","Europe","Y20012003","",""
"171","Bosnia and Herzegovina","Europe","Y20022004","",""
"172","Bosnia and Herzegovina","Europe","Y20032005","",""
"173","Bosnia and Herzegovina","Europe","Y20042006","",""
"174","Bosnia and Herzegovina","Europe","Y20052007","",""
"175","Bosnia and Herzegovina","Europe","Y20062008","",""
"176","Bosnia and Herzegovina","Europe","Y20072009","",""
"177","Bosnia and Herzegovina","Europe","Y20082010","",""
"178","Bosnia and Herzegovina","Europe","Y20092011","",""
"179","Bosnia and Herzegovina","Europe","Y20102012","",""
"180","Bosnia and Herzegovina","Europe","Y20112013","",""
